CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Telangana Circle,Hyderabad Region,Nizamabad Division,Arsapalli B.O,503186,BO,Delivery,NIZAMABAD,TELANGANA,18.6845544,78.0773742
Telangana Circle,Hyderabad Region,Nizamabad Division,Camp Ootpalli B.O,503180,BO,Delivery,NIZAMABAD,TELANGANA,18.5329923,77.618717
Telangana Circle,Hyderabad Region,Nizamabad Division,Eraspalli B.O,503180,BO,Delivery,NIZAMABAD,TELANGANA,18.5329923,77.618717
Telangana Circle,Hyderabad Region,Nizamabad Division,Singitham B.O,503187,BO,Delivery,KAMAREDDY,TELANGANA,18.3096558,77.9466324
Telangana Circle,Hyderabad Region,Nizamabad Division,Mahmadpur B.O,503101,BO,Delivery,KAMAREDDY,TELANGANA,18.2108201,78.4853495
Telangana Circle,Hyderabad Region,Nizamabad Division,Malkapur B.O,503125,BO,Delivery,KAMAREDDY,TELANGANA,18.2127127,78.549741
Telangana Circle,Hyderabad Region,Nizamabad Division,Tujlapur B.O,503125,BO,Delivery,KAMAREDDY,TELANGANA,18.1894413,78.5477163
Telangana Circle,Hyderabad Region,Nizamabad Division,Yadaram B.O,503125,BO,Delivery,KAMAREDDY,TELANGANA,18.3201713,78.3363317
Telangana Circle,Hyderabad Region,Nizamabad Division,Ugrawai B.O,503112,BO,Delivery,KAMAREDDY,TELANGANA,18.3258076,78.390802
Telangana Circle,Hyderabad Region,Nizamabad Division,Yellappagonda B.O,503112,BO,Delivery,KAMAREDDY,TELANGANA,18.324703,78.3361217
Telangana Circle,Hyderabad Region,Nizamabad Division,PALVANCHA B.O,503112,BO,Delivery,KAMAREDDY,TELANGANA,18.3212004,78.4365975
Telangana Circle,Hyderabad Region,Nizamabad Division,Polkampet B.O,503124,BO,Delivery,KAMAREDDY,TELANGANA,18.1745669,78.1611606
Telangana Circle,Hyderabad Region,Nizamabad Division,Pothiapalli B.O,503124,BO,Delivery,KAMAREDDY,TELANGANA,18.22808,78.1813655
Telangana Circle,Hyderabad Region,Nizamabad Division,Dongli B.O,503309,BO,Delivery,KAMAREDDY,TELANGANA,18.5170016,77.7086999
Telangana Circle,Hyderabad Region,Nizamabad Division,Tandur B.O,503108,BO,Delivery,KAMAREDDY,TELANGANA,18.1057875,78.0782538
Telangana Circle,Hyderabad Region,Nizamabad Division,Hasanpalli B.O,503302,BO,Delivery,KAMAREDDY,TELANGANA,18.2258833,77.967685
Telangana Circle,Hyderabad Region,Nizamabad Division,Vaddepalli B.O,503302,BO,Delivery,KAMAREDDY,TELANGANA,18.2298028,77.9355044
Telangana Circle,Hyderabad Region,Nizamabad Division,JALALPUR B.O,503201,BO,Delivery,NIZAMABAD,TELANGANA,18.508287,77.970239
Telangana Circle,Hyderabad Region,Nizamabad Division,Thirumalapur B.O,503187,BO,Delivery,KAMAREDDY,TELANGANA,18.3195315,77.9114506
Telangana Circle,Hyderabad Region,Nizamabad Division,Bhagirathipalli B.O,503101,BO,Delivery,KAMAREDDY,TELANGANA,18.1277984,78.4665583
Telangana Circle,Hyderabad Region,Nizamabad Division,Rameshwarpalli B.O,503101,BO,Delivery,KAMAREDDY,TELANGANA,18.1900503,78.3900424
Telangana Circle,Hyderabad Region,Nizamabad Division,Issanagar B.O,503125,BO,Delivery,KAMAREDDY,TELANGANA,18.1837178,78.5129407
Telangana Circle,Hyderabad Region,Nizamabad Division,Hasgal B.O,503306,BO,Delivery,KAMAREDDY,TELANGANA,18.4344583,77.7564916
Telangana Circle,Hyderabad Region,Nizamabad Division,Amberipet B.O,503123,BO,Delivery,KAMAREDDY,TELANGANA,18.2673626,78.4995897
Telangana Circle,Hyderabad Region,Nizamabad Division,Lingupalli B.O,503102,BO,Delivery,KAMAREDDY,TELANGANA,18.41245,78.689513
Telangana Circle,Hyderabad Region,Nizamabad Division,Kyasampalli  B.O,503112,BO,Delivery,KAMAREDDY,TELANGANA,18.3096846,78.3703829
Telangana Circle,Hyderabad Region,Nizamabad Division,Machareddy B.O,503112,BO,Delivery,KAMAREDDY,TELANGANA,18.3330237,78.4974098
Telangana Circle,Hyderabad Region,Nizamabad Division,Tekriyal B.O,503112,BO,Delivery,KAMAREDDY,TELANGANA,18.3439451,78.3037806
Telangana Circle,Hyderabad Region,Nizamabad Division,Gundekallur B.O,503309,BO,Delivery,KAMAREDDY,TELANGANA,18.4592782,77.7291779
Telangana Circle,Hyderabad Region,Nizamabad Division,Mogha B.O,503309,BO,Delivery,KAMAREDDY,TELANGANA,18.4952366,77.6680116
Telangana Circle,Hyderabad Region,Nizamabad Division,KODCHERA B.O,503309,BO,Delivery,KAMAREDDY,TELANGANA,18.4416098,77.6221275
Telangana Circle,Hyderabad Region,Nizamabad Division,Chinnur B.O,503108,BO,Delivery,KAMAREDDY,TELANGANA,18.0959539,78.12191
Telangana Circle,Hyderabad Region,Nizamabad Division,Pocharam B.O,503108,BO,Delivery,KAMAREDDY,TELANGANA,18.1138237,78.1712936
